"Prime Contract ID","Contract Includes Sub Vendors","Vendor Record Type","Prime Vendor","Prime Vendor M/WBE Category","Prime Contract Purpose","Prime Contract Current Amount","Prime Contract Original Amount","Prime Vendor Spend to Date","Prime Contract Start Date","Prime Contract End Date","Prime Contract Registration Date","Prime Woman Owned Business","Prime Emerging Business","Prime Contracting Agency","OCA Number","Prime Contract Version","FMS Document/Parent Contract ID","Prime Contract Type","Prime Contract Award Method","Prime Contract Expense Category","Prime Contract Industry","Prime Contract PIN","Prime Contract APT PIN","% COVID Spending","% Other Spending","Sub Vendor","Sub Vendor M/WBE Category","Sub Contract Purpose","Subcontract Status","Sub Contract Industry","Sub Contract Current Amount","Sub Contract Original Amount","Sub Vendor Paid to Date","Sub Contract Start Date","Sub Contract End Date","Sub Contract Reference ID","Sub Woman Owned Business","Sub Emerging Business"
CT181620228800064,No Data Entered,Prime Vendor,THE CHILDRENS AID SOCIETY,Non-M/WBE,FY22 Renewal #2 16SA005401R2X00 Family Drug Prevention Servi,5675048.00,4378347.00,4363575.28,2021-07-01,2024-06-30,2021-07-13,No ,No ,Department of Health and Mental Hygiene,,14,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81615R0248001A002,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800063,No Data Entered,Prime Vendor,URBAN PATHWAYS INC,Non-M/WBE,FY22 Renewal - Supported Housing for NYC Families,2175719.00,1335834.00,1498948.36,2021-07-01,2024-06-30,2021-06-24,No ,No ,Department of Health and Mental Hygiene,,10,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81615P0256001A003,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800062,No Data Entered,Prime Vendor,THE MENTAL HEALTH ASSOCIATION OF NEW YORK CITY INC,Non-M/WBE,FY22 Renewal -  Mental Health Services for Senior Citizens,266664.00,253980.00,85577.50,2021-07-01,2024-06-30,2021-06-29,No ,No ,Department of Health and Mental Hygiene,,7,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81616R0190001A004,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800061,No Data Entered,Prime Vendor,POSTGRADUATE CENTER FOR MENTAL HEALTH,Non-M/WBE,Assertive Community Treatment Services,2643232.50,2114586.00,2268255.13,2021-07-01,2024-06-30,2021-09-14,No ,No ,Department of Health and Mental Hygiene,,7,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81615R0249001A002,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800060,No Data Entered,Prime Vendor,"WEST END RESIDENCES HDFC, INC.",Non-M/WBE,FY22 Renewal - Supported Housing Services,1504828.00,961350.00,983840.98,2021-07-01,2024-06-30,2021-06-25,No ,No ,Department of Health and Mental Hygiene,,13,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81615P0252001A001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800059,No Data Entered,Prime Vendor,NYSARC INC NEW YORK CITY CHAPTER,Non-M/WBE,FY22 Renewal - psychosocial rehabilitative services,985579.00,558933.00,547319.77,2021-07-01,2024-06-30,2021-07-26,No ,No ,Department of Health and Mental Hygiene,,14,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81619R8236KXLA002,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800057,No Data Entered,Prime Vendor,BETH ISRAEL MEDICAL CENTER,Non-M/WBE,FY22 CPEP Crisis Intervention,9262238.00,7409790.00,1202121.87,2021-07-01,2030-06-30,2021-09-14,No ,No ,Department of Health and Mental Hygiene,,9,-,PROGRAMS,DETERMINED BY GOV'T MANDATE,MENTAL HYGIENE SERVICES,Human Services,81621M0018001A001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800056,No Data Entered,Prime Vendor,JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES INC,Non-M/WBE,Provide Non -Medicaid Care Coordination,2913741.00,2448873.00,619528.26,2021-07-01,2030-06-30,2021-07-16,No ,No ,Department of Health and Mental Hygiene,,14,-,PROGRAMS,DETERMINED BY GOV'T MANDATE,MENTAL HYGIENE SERVICES,Human Services,81621M0009001A002,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800055,No Data Entered,Prime Vendor,AMETHYST HOUSE INC.,Non-M/WBE,FY22 Renewal #2 16SA003901R2X00  Community Residential,2770533.00,2770533.00,782121.95,2021-07-01,2024-06-30,2021-06-30,No ,No ,Department of Health and Mental Hygiene,1014200616,12,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81615R0250001R002,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800053,No Data Entered,Prime Vendor,POSTGRADUATE CENTER FOR MENTAL HEALTH,Non-M/WBE,Supportive Housing Services,2389294.00,1842531.00,1153434.89,2021-07-01,2024-06-30,2021-09-14,No ,No ,Department of Health and Mental Hygiene,,8,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81619P8214KXLA001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800052,No Data Entered,Prime Vendor,PHIPPS NEIGHBORHOODS INC,Non-M/WBE,FY22 Renewal - Supportive Housing,4410000.00,3528000.00,3050791.21,2021-07-01,2024-06-30,2021-07-16,No ,No ,Department of Health and Mental Hygiene,,12,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81619P8224KXLA002,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800051,No Data Entered,Prime Vendor,MENTAL HEALTH PROVIDERS OF WESTERN QUEENS INC,Non-M/WBE,FY22 Renewal- Mental Health Services,4141343.00,3313074.00,2406762.11,2021-07-01,2024-06-30,2021-06-28,No ,No ,Department of Health and Mental Hygiene,,9,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81615R0255001A001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800050,No Data Entered,Prime Vendor,JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES INC,Non-M/WBE,FY22 Renewal  Housing Services and support,3201939.00,3001800.00,2458835.85,2021-07-01,2024-06-30,2021-07-13,No ,No ,Department of Health and Mental Hygiene,,8,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81615R0264001A004,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800045,No Data Entered,Prime Vendor,GOODWILL INDUSTRIES OF GREATER NY & NORTHERN NEW JERSEY INC,Non-M/WBE,Supported Employment Service,2015610.00,1612488.00,1164542.82,2021-07-01,2024-06-30,2021-07-16,No ,No ,Department of Health and Mental Hygiene,,12,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81615R0245001A001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800044,No Data Entered,Prime Vendor,COMUNILIFE INC,Non-M/WBE,FY22 Renewal - Supportive Housing Services,1930197.00,1825194.00,1693132.00,2021-07-01,2024-06-30,2021-06-26,No ,No ,Department of Health and Mental Hygiene,,8,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81615P0253001A003,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800041,No Data Entered,Prime Vendor,COMUNILIFE INC,Non-M/WBE,Supportive Housing Services,3018273.00,2835000.00,2860586.65,2021-07-01,2024-06-30,2021-06-23,No ,No ,Department of Health and Mental Hygiene,,10,-,PROGRAMS,RENEWAL OF CONTRACT,MENTAL HYGIENE SERVICES,Human Services,81619P8233KXLA003,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800038,Yes,Prime Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",60000000.00,60000000.00,55805475.18,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,242,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,MIDAS OPCO HOLDINGS LLC,Non-M/WBE,Vendor will provide Public Relations Support to DOHMH in FY23,No Subcontract Payments Submitted,Professional Services,355000.00,165000.00,0.00,2023-04-01,2023-12-31,365,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,AITHENT INC,Non-M/WBE,Electronic Medical Records System,No Subcontract Payments Submitted,Professional Services,700000.00,700000.00,0.00,2023-07-01,2024-06-30,474,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,DSS Global Inc,Non-M/WBE,to support the recruitment of executive and senior-level management positions,No Subcontract Payments Submitted,Professional Services,63870.00,63870.00,0.00,2024-03-04,2024-06-30,473,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,Life of Hope,Non-M/WBE,Haitian Women's Birth Equity Initiative,ACCO Canceled Subcontract,Human Services,0.00,297000.00,0.00,2023-07-17,2024-06-30,430,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,Honeydew Holistics LLC,Non-M/WBE,Citywide Doula Initiative,No Subcontract Payments Submitted,Human Services,20000.00,10000.00,0.00,2023-10-01,2024-06-30,409,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,Life of Hope,Non-M/WBE,MHQIN Birth Justice Hubs,No Subcontract Payments Submitted,Human Services,297000.00,297000.00,0.00,2023-07-17,2024-06-30,472,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,Pryco Solutions LLC,Non-M/WBE,Integrating Substance Use Harm Reduction into Outreach to People Experiencing Homelessness (IHARP),No Subcontract Payments Submitted,Professional Services,100000.00,69837.53,0.00,2023-09-01,2024-06-30,427,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,"CARIBBEAN WOMEN'S HEALTH ASSOCIATION,  INC.",Non-M/WBE,Citywide Doula Initiative (CDI),ACCO Approved Subcontract,Human Services,1126367.00,565000.00,72050.00,2022-07-01,2024-06-30,273,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,MAMA GLOW FOUNDATION,Non-M/WBE,Citywide Doula Initiative (CDI),No Subcontract Payments Submitted,Human Services,1150774.50,425700.00,0.00,2022-07-01,2024-06-30,305,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,THE INSTITUTE FOR FAMILY HEALTH INC,Non-M/WBE,Health Justice Network,No Subcontract Payments Submitted,Human Services,61367.30,61367.30,0.00,2024-01-01,2024-06-30,471,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,THE FORTUNE SOCIETY INC,Non-M/WBE,Health Justice Network,No Subcontract Payments Submitted,Human Services,50460.00,50460.00,0.00,2024-01-01,2024-06-30,470,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,DECOLONIZING THERAPY LLC,Hispanic American,Race to Justice,No Subcontract Payments Submitted,Professional Services,108800.00,108800.00,0.00,2024-05-02,2024-06-30,469,Yes,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,Linda Wang,Non-M/WBE,Bupe Local Mentors,No Subcontract Payments Submitted,Human Services,10000.00,10000.00,0.00,2024-04-01,2024-06-30,468,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,"The Staten Island Partnership for Community Wellness, Inc.",Non-M/WBE,CAMP Coalitions,No Subcontract Payments Submitted,Professional Services,138000.00,138000.00,0.00,2023-07-06,2024-06-30,464,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,LATINO COMMISSION ON AIDS,Non-M/WBE,The Unity Project,No Subcontract Payments Submitted,Human Services,10000.00,10000.00,0.00,2024-04-01,2024-06-30,466,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,"The Staten Island Partnership for Community Wellness, Inc.",Non-M/WBE,CAMP Coalitions,ACCO Rejected Subcontract,Professional Services,138000.00,138000.00,0.00,2023-07-06,2024-06-30,465,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,Laila Khalid,Non-M/WBE,Bupe Local Mentors,No Subcontract Payments Submitted,Human Services,10000.00,10000.00,0.00,2024-04-01,2024-06-30,467,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,AIDS CENTER OF QUEENS COUNTY INC ADVOCACY CENTER OF QUEENS,Non-M/WBE,Public Health Corps PHC,No Subcontract Payments Submitted,Human Services,98000.00,98000.00,0.00,2024-01-01,2024-06-30,462,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,AIDS CENTER OF QUEENS COUNTY INC ADVOCACY CENTER OF QUEENS,Non-M/WBE,Public Health Corps PHC,No Subcontract Payments Submitted,Human Services,98000.00,98000.00,0.00,2024-01-01,2024-06-30,463,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,CORTICO CORPORATION,Non-M/WBE,The Unity Project,No Subcontract Payments Submitted,Human Services,55000.00,55000.00,0.00,2024-04-01,2024-06-30,461,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,RISEBORO COMMUNITY PARTNERSHIP INC,Non-M/WBE,Health Advocacy Partners,No Subcontract Payments Submitted,Human Services,982326.00,982326.00,0.00,2024-01-01,2024-06-30,459,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,ESTHER TAMBE NUTRITION LLC,Non-M/WBE,Public Health Corp,No Subcontract Payments Submitted,Human Services,25000.00,25000.00,0.00,2024-04-01,2024-06-30,460,No ,No 
CT181620228800038,Yes,Sub Vendor,FUND FOR PUBLIC HEALTH IN NEW YORK INC,Non-M/WBE,"Develop and Execute New Initiatives, Conduct Demo Project",0.00,0.00,0.00,2021-07-01,2024-06-30,2021-07-23,No ,No ,Department of Health and Mental Hygiene,,528,-,CONSULTANT,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,"CONTRACTUAL SERVICES GENERAL, MAINT & OPER OF INFRASTRUCTURE, MENTAL HYGIENE SERVICES, PRINTING CONTRACTS, PROF SERV OTHER, TEMPORARY SERVICES",Professional Services,81621N0311001A001,"",-,-,CONTROL TECHNOLOGIES INC,Non-M/WBE,Vendor will be updating DOHMH's HVAC system for the Building Management Systems Services Project in FY24.,No Subcontract Payments Submitted,Professional Services,639283.41,493207.09,0.00,2023-07-01,2024-06-30,368,No ,No 
